Time Value Smoothed
0.0 0.1456151006780103 0.1401047247771743
0.01 0.1345943488763383 0.16108650384838127
0.02 0.2030500619907952 0.19397176037479671
0.03 0.2442708702572567 0.2678378345458465
0.04 0.3561925713894875 0.2927459522236413
0.05 0.2777744150241797 0.2884322009405121
0.06 0.231329616407869 0.24936768235780446
0.07 0.2389990156413646 0.2587408112831724
0.08 0.3058938018002836 0.31661022900067576
0.09 0.404937869560379 0.3736080228478221
0.1 0.4099923971828035 0.4239805422624005
0.11 0.4570113600440189 0.4110019290375655
0.12 0.366002029885874 0.41309008362169003
0.13 0.4162568609351771 0.3932787813639418
0.14 0.3975774532707742 0.41050019570463037
0.15 0.4176662729079397 0.43251687392630656
0.16 0.4823068956002057 0.4693085851937974
0.17 0.5079525870732466 0.49610382299258743
0.18 0.4980519863043098 0.48903859158876406
0.19 0.4611112013887357 0.5067257672501927
0.2 0.5610141140575327 0.5110626577231342
