Time Value Smoothed
0.0 0.1406831438641931 0.14023244651326533
0.01 0.1397817491623376 0.14380496724674843
0.02 0.1509500087137146 0.14272890841689204
0.03 0.1374549673746239 0.17415881523421764
0.04 0.2340714696143145 0.18205470762871814
0.05 0.174637685897216 0.19157706500156968
0.06 0.1660220394931785 0.1622932499469418
0.07 0.1462200244504309 0.15816131072756542
0.08 0.1622418682390868 0.1640934573376098
0.09 0.1838184793233117 0.20414355650412222
0.1 0.2663703219499682 0.23067811473333458
0.11 0.2418455429267239 0.261124453552182
0.12 0.2751574957798539 0.21513564418693742
0.13 0.1284038938542345 0.22092814680352726
0.14 0.2592230507764935 0.2023292325246897
0.15 0.2193607529433411 0.22869126023287148
0.16 0.2074899769787799 0.22974575333255887
0.17 0.2623865300755555 0.21766343887353554
0.18 0.1831138095662712 0.25176378050026865
0.19 0.3097910018589792 0.2427064082785287
0.2 0.2352144134103357 0.27250270763465745
