Time Value Smoothed
0.0 0.1461216278598425 0.13813804260731785
0.01 0.1301544573547932 0.1446076750149837
0.02 0.1575469398303154 0.1537991866543556
0.03 0.1736961627779582 0.22925923536455084
0.04 0.3565346034853789 0.27465727195818007
0.05 0.2937410496112031 0.31054852421802
0.06 0.2813699195574779 0.29016690467427475
0.07 0.2953897448541432 0.3095114354035935
0.08 0.3517746417991594 0.3138704734586233
0.09 0.2944470337225673 0.347636853718513
0.1 0.3966888856338121 0.35618082747479374
0.11 0.3774065630680017 0.39414105005665884
0.12 0.4083277014681628 0.3975128481767987
0.13 0.4068042799942317 0.46812893684352636
0.14 0.5892548290681846 0.46693389797671747
0.15 0.4047425848677363 0.48148431606365233
0.16 0.4504555342550361 0.4291097216148965
0.17 0.4321310457219172 0.5056355979309485
0.18 0.6343202138158922 0.500643703834266
0.19 0.4354798519649888 0.5730235620338217
0.2 0.6492706203205838 0.5423752361427863
